Date,Open,High,Low,Close,Adj Close,Volume
15/09/2000,161,179.375,154.875,11.875001,166.25,344000
18/09/2000,175.875,197.75,170.625,13.000001,182,576400
19/09/2000,188.125,189,168.875,12.437501,174.125,141900
20/09/2000,174.125,191.625,173.25,13.187501,184.625,152700
21/09/2000,184.625,184.625,170.625,12.437501,174.125,51500
22/09/2000,161.875,171.5,157.5,11.625001,162.75,54000
25/09/2000,164.5,168.875,154,11.312501,158.375,35700
26/09/2000,160.125,175.875,156.625,12.000001,168,59700
27/09/2000,175,176.75,157.5,11.437501,160.125,43000
28/09/2000,160.5625,160.5625,146.125,10.875001,152.25,38400
29/09/2000,150.5,160.125,149.625,10.765626,150.71875,30500
02/10/2000,151.375,156.625,140,10,140,25400
03/10/2000,142.1875,147,133,9.5625,133.875,43500
04/10/2000,134.75,148.75,124.6875,10.5625,147.875,45400
05/10/2000,154.875,155.75,136.5,9.96875,139.5625,26200
06/10/2000,140,140,131.25,9.625,134.75,22500
09/10/2000,142.625,152.25,136.5,10,140,26200
10/10/2000,140,143.5,133,9.6875,135.625,11600
11/10/2000,133,138.25,129.5,9.28125,129.9375,14400
12/10/2000,135.625,138.25,118.125,8.4375,118.125,31300
13/10/2000,119,133,118.125,9.203125,128.84375,26600
16/10/2000,126,139.125,124.25,9.3125,130.375,10600
17/10/2000,129.5,136.0625,120.75,9,126,14300
18/10/2000,124.25,126,119,8.8125,123.375,10500
19/10/2000,126.875,130.375,120.75,8.625,120.75,9700
20/10/2000,122.5,127.75,120.75,8.875,124.25,7900
23/10/2000,128.625,129.5,124.25,9.0625,126.875,18000
24/10/2000,126.4375,127.75,119,8.65625,121.1875,10600
25/10/2000,121.1875,121.625,112,8.125,113.75,13400
26/10/2000,112.875,119.4375,103.25,7.875,110.25,16700
27/10/2000,110.6875,112.875,108.5,7.75,108.5,6400
30/10/2000,110.25,129.5,109.375,8.6875,121.625,37500
31/10/2000,125.125,127.75,117.6875,9.125,127.75,13700
01/11/2000,129.5,136.5,122.5,9,126,17900
02/11/2000,127.75,132.125,124.25,9,126,9500
03/11/2000,131.25,132.125,122.5,8.75,122.5,7500
06/11/2000,142.625,147,134.75,9.9375,139.125,58900
07/11/2000,135.625,138.25,127.75,9.1875,128.625,14600
08/11/2000,135.625,140,128.1875,9.375,131.25,21600
09/11/2000,126.875,138.25,122.5,9.0625,126.875,15900
10/11/2000,128.625,133,117.25,8.5,119,13900
13/11/2000,115.5,119,110.25,8.25,115.5,14000
14/11/2000,119,123.375,114.625,8.25,115.5,13900
15/11/2000,115.5,123.375,115.5,8.390625,117.46875,9600
16/11/2000,118.125,121.40625,115.5,8.3125,116.375,3700
17/11/2000,116.375,119,112,8.03125,112.4375,7800
